pH,Date,Mean
pH,Date,Mean
4.00,20/06/24 - 20:42:33,nog niet aanwezig
4.00,20/06/24 - 20:42:34,nog niet aanwezig
4.03,20/06/24 - 20:42:35,nog niet aanwezig
4.03,20/06/24 - 20:42:36,nog niet aanwezig
4.00,20/06/24 - 20:42:37,nog niet aanwezig
4.00,20/06/24 - 20:42:38,nog niet aanwezig
4.00,20/06/24 - 20:42:39,nog niet aanwezig
4.00,20/06/24 - 20:42:40,nog niet aanwezig
4.00,20/06/24 - 20:42:41,nog niet aanwezig
4.00,20/06/24 - 20:42:42,4
4.00,20/06/24 - 20:42:43,nog niet aanwezig
,20/06/24 - 20:42:44,nog niet aanwezig
">>>Calibration Successful,Exit PH Calibration Mode<<<",20/06/24 - 20:42:45,nog niet aanwezig
,20/06/24 - 20:42:46,nog niet aanwezig
4.00,20/06/24 - 20:42:47,nog niet aanwezig
4.00,20/06/24 - 20:42:48,nog niet aanwezig
4.03,20/06/24 - 20:42:49,nog niet aanwezig
4.03,20/06/24 - 20:42:50,nog niet aanwezig
4.03,20/06/24 - 20:42:51,nog niet aanwezig
4.00,20/06/24 - 20:42:52,4
4.00,20/06/24 - 20:42:53,nog niet aanwezig
4.00,20/06/24 - 20:42:54,nog niet aanwezig
4.00,20/06/24 - 20:42:55,nog niet aanwezig
4.00,20/06/24 - 20:42:56,nog niet aanwezig
4.03,20/06/24 - 20:42:57,nog niet aanwezig
4.00,20/06/24 - 20:42:58,nog niet aanwezig
4.03,20/06/24 - 20:42:59,nog niet aanwezig
4.03,20/06/24 - 20:43:00,nog niet aanwezig
4.00,20/06/24 - 20:43:02,nog niet aanwezig
4.00,20/06/24 - 20:43:03,4
4.00,20/06/24 - 20:43:04,nog niet aanwezig
4.00,20/06/24 - 20:43:05,nog niet aanwezig
4.00,20/06/24 - 20:43:06,nog niet aanwezig
3.97,20/06/24 - 20:43:07,nog niet aanwezig
4.03,20/06/24 - 20:43:08,nog niet aanwezig
4.03,20/06/24 - 20:43:09,nog niet aanwezig
4.03,20/06/24 - 20:43:10,nog niet aanwezig
4.00,20/06/24 - 20:43:11,nog niet aanwezig
4.00,20/06/24 - 20:43:12,nog niet aanwezig
4.00,20/06/24 - 20:43:13,4
3.97,20/06/24 - 20:43:14,nog niet aanwezig
4.00,20/06/24 - 20:43:15,nog niet aanwezig
3.97,20/06/24 - 20:43:16,nog niet aanwezig
4.00,20/06/24 - 20:43:17,nog niet aanwezig
4.03,20/06/24 - 20:43:18,nog niet aanwezig
4.03,20/06/24 - 20:43:19,nog niet aanwezig
4.03,20/06/24 - 20:43:20,nog niet aanwezig
4.03,20/06/24 - 20:43:21,nog niet aanwezig
4.00,20/06/24 - 20:43:22,nog niet aanwezig
4.00,20/06/24 - 20:43:23,4
4.00,20/06/24 - 20:43:24,nog niet aanwezig
4.00,20/06/24 - 20:43:25,nog niet aanwezig
4.00,20/06/24 - 20:43:26,nog niet aanwezig
4.00,20/06/24 - 20:43:27,nog niet aanwezig
4.03,20/06/24 - 20:43:28,nog niet aanwezig
4.03,20/06/24 - 20:43:29,nog niet aanwezig
4.03,20/06/24 - 20:43:30,nog niet aanwezig
4.03,20/06/24 - 20:43:31,nog niet aanwezig
4.00,20/06/24 - 20:43:32,nog niet aanwezig
4.00,20/06/24 - 20:43:33,4
4.00,20/06/24 - 20:43:34,nog niet aanwezig
4.00,20/06/24 - 20:43:35,nog niet aanwezig
4.00,20/06/24 - 20:43:36,nog niet aanwezig
4.03,20/06/24 - 20:43:37,nog niet aanwezig
4.03,20/06/24 - 20:43:39,nog niet aanwezig
4.03,20/06/24 - 20:43:40,nog niet aanwezig
4.00,20/06/24 - 20:43:41,nog niet aanwezig
4.00,20/06/24 - 20:43:42,nog niet aanwezig
4.00,20/06/24 - 20:43:43,nog niet aanwezig
4.00,20/06/24 - 20:43:44,4
4.00,20/06/24 - 20:43:45,nog niet aanwezig
4.00,20/06/24 - 20:43:46,nog niet aanwezig
4.00,20/06/24 - 20:43:47,nog niet aanwezig
4.00,20/06/24 - 20:43:48,nog niet aanwezig
4.03,20/06/24 - 20:43:49,nog niet aanwezig
4.03,20/06/24 - 20:43:50,nog niet aanwezig
4.00,20/06/24 - 20:43:51,nog niet aanwezig
4.00,20/06/24 - 20:43:52,nog niet aanwezig
4.00,20/06/24 - 20:43:53,nog niet aanwezig
4.00,20/06/24 - 20:43:54,4
4.00,20/06/24 - 20:43:55,nog niet aanwezig
4.00,20/06/24 - 20:43:56,nog niet aanwezig
4.03,20/06/24 - 20:43:57,nog niet aanwezig
4.00,20/06/24 - 20:43:58,nog niet aanwezig
4.03,20/06/24 - 20:43:59,nog niet aanwezig
4.03,20/06/24 - 20:44:00,nog niet aanwezig
4.03,20/06/24 - 20:44:01,nog niet aanwezig
4.00,20/06/24 - 20:44:02,nog niet aanwezig
4.00,20/06/24 - 20:44:03,nog niet aanwezig
4.00,20/06/24 - 20:44:04,4
4.00,20/06/24 - 20:44:05,nog niet aanwezig
4.00,20/06/24 - 20:44:06,nog niet aanwezig
4.00,20/06/24 - 20:44:07,nog niet aanwezig
4.00,20/06/24 - 20:44:08,nog niet aanwezig
4.03,20/06/24 - 20:44:09,nog niet aanwezig
4.03,20/06/24 - 20:44:10,nog niet aanwezig
4.03,20/06/24 - 20:44:11,nog niet aanwezig
4.03,20/06/24 - 20:44:12,nog niet aanwezig
4.00,20/06/24 - 20:44:13,nog niet aanwezig
4.00,20/06/24 - 20:44:14,4
4.00,20/06/24 - 20:44:15,nog niet aanwezig
4.00,20/06/24 - 20:44:16,nog niet aanwezig
4.00,20/06/24 - 20:44:17,nog niet aanwezig
4.00,20/06/24 - 20:44:18,nog niet aanwezig
4.03,20/06/24 - 20:44:19,nog niet aanwezig
4.03,20/06/24 - 20:44:20,nog niet aanwezig
4.03,20/06/24 - 20:44:21,nog niet aanwezig
4.03,20/06/24 - 20:44:22,nog niet aanwezig
4.00,20/06/24 - 20:44:23,nog niet aanwezig
4.00,20/06/24 - 20:44:24,4
4.00,20/06/24 - 20:44:25,nog niet aanwezig
4.00,20/06/24 - 20:44:26,nog niet aanwezig
4.00,20/06/24 - 20:44:27,nog niet aanwezig
4.00,20/06/24 - 20:44:28,nog niet aanwezig
4.03,20/06/24 - 20:44:29,nog niet aanwezig
4.03,20/06/24 - 20:44:30,nog niet aanwezig
4.03,20/06/24 - 20:44:31,nog niet aanwezig
